File Name,Mobile phase,Gradient,Instrument,Optimalization,Sample,RT (min),Spermine,Spermidine,Putrescine
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.304,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.307,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.311,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.315,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.319,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.322,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.326,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.33,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.334,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.337,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.341,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.345,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.348,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.352,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.356,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.36,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.363,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.367,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.371,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.375,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.378,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.382,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.386,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.39,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.393,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.397,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.401,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.405,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.408,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.412,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.416,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.419,50,97,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.423,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.427,76,15,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.431,407,13,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.434,255,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.438,188,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.442,246,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.446,93,45,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.449,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.453,62,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.457,95,0,16
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.461,52,37,15
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.464,108,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.468,0,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.472,14,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.476,47,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.479,0,0,45
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.483,46,35,38
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.487,39,30,74
