"File.Name","Sample.Class","Injection.ID","Sample.ID","Sample.Group","Injection.Replicate","Technical.Replicate","Metabolite","Label_enrichment","Experiment","Assay.Date","Curve.Concentrations","Group.Index","Sample.Index","Run.Index","Extraction.Method","Sample.Type","Condition","Concentration","Issup","Treatment","Cell.Line","alpha","beta","conc_foc","Curve_adj","included","MFC_c","Signal","Signal_MFC","Signal_MFC_QC","Conc_raw"
"20240926-Test-PA-Spike-Cells-020","Sample","SOL_0.1_PRE/RESUSP_1_1","SOL_0.1_PRE/RESUSP_1","SOL_0.1_PRE/RESUSP",1,1,"Putrescine",0,"Recovery/Ion suppresion",20240926,,8,,,,"SOL","PRE/RESUSP",0.1,,,,2.21528560537347,0.864720954717939,,,,,2.795,2.795,2.795,0.00900253054133679
"20240926-Test-PA-Spike-Cells-021","Sample","SOL_0.1_POST_1_1","SOL_0.1_POST_1","SOL_0.1_POST",1,1,"Putrescine",0,"Recovery/Ion suppresion",20240926,,6,25,,,"SOL","POST",0.1,,,,2.21528560537347,0.864720954717939,,,,,13.579,13.579,13.579,0.0560074902640589
"20240926-Test-PA-Spike-Cells-022","Sample","SOL_1_PRE/RESUSP_1_1","SOL_1_PRE/RESUSP_1","SOL_1_PRE/RESUSP",1,1,"Putrescine",0,"Recovery/Ion suppresion",20240926,,9,,,,"SOL","PRE/RESUSP",1,,,,2.21528560537347,0.864720954717939,,,,,137.819,137.819,137.819,0.816841020467566
"20240926-Test-PA-Spike-Cells-023","Sample","SOL_1_POST_1_1","SOL_1_POST_1","SOL_1_POST",1,1,"Putrescine",0,"Recovery/Ion suppresion",20240926,,7,26,,,"SOL","POST",1,,,,2.21528560537347,0.864720954717939,,,,,142.422,142.422,142.422,0.848472250787565
"20240926-Test-PA-Spike-Cells-034","Sample","SOL_0.1_PRE/RESUSP_1_2","SOL_0.1_PRE/RESUSP_1","SOL_0.1_PRE/RESUSP",2,1,"Putrescine",0,"Recovery/Ion suppresion",20240926,,8,,,,"SOL","PRE/RESUSP",0.1,,,,2.21528560537347,0.864720954717939,,,,,4.182,4.182,4.182,0.0143464546947857
"20240926-Test-PA-Spike-Cells-035","Sample","SOL_0.1_POST_1_2","SOL_0.1_POST_1","SOL_0.1_POST",2,1,"Putrescine",0,"Recovery/Ion suppresion",20240926,,6,25,,,"SOL","POST",0.1,,,,2.21528560537347,0.864720954717939,,,,,9.069,9.069,9.069,0.0351165672807956
"20240926-Test-PA-Spike-Cells-036","Sample","SOL_1_PRE/RESUSP_1_2","SOL_1_PRE/RESUSP_1","SOL_1_PRE/RESUSP",2,1,"Putrescine",0,"Recovery/Ion suppresion",20240926,,9,,,,"SOL","PRE/RESUSP",1,,,,2.21528560537347,0.864720954717939,,,,,148.523,148.523,148.523,0.890643966702227
"20240926-Test-PA-Spike-Cells-037","Sample","SOL_1_POST_1_2","SOL_1_POST_1","SOL_1_POST",2,1,"Putrescine",0,"Recovery/Ion suppresion",20240926,,7,26,,,"SOL","POST",1,,,,2.21528560537347,0.864720954717939,,,,,141.743,141.743,141.743,0.843796060790718
"20240926-Test-PA-Spike-Cells-056","Sample","NO_0_NORM_1_1","NO_0_NORM_1","NO_0_NORM",1,1,"Putrescine",0,"Recovery/Ion suppresion",20240926,,1,1,,,"NO","NORM",0,,,,2.21528560537347,0.864720954717939,,,,1.05163320561098,52.483,52.483,52.483,0.267455961188507
"20240926-Test-PA-Spike-Cells-057","Sample","NO_0_NORM_1_2","NO_0_NORM_1","NO_0_NORM",2,1,"Putrescine",0,"Recovery/Ion suppresion",20240926,,1,1,,,"NO","NORM",0,,,,2.21528560537347,0.864720954717939,,,,1.07583862569654,51.843,51.843,51.843,0.263687867122062
"20240926-Test-PA-Spike-Cells-058","Sample","NO_0_NORM_2_2","NO_0_NORM_2","NO_0_NORM",2,2,"Putrescine",0,"Recovery/Ion suppresion",20240926,,1,2,,,"NO","NORM",0,,,,2.21528560537347,0.864720954717939,,,,0.983369138005969,45.431,45.431,45.431,0.226350912547675
"20240926-Test-PA-Spike-Cells-059","Sample","NO_0_NORM_2_1","NO_0_NORM_2","NO_0_NORM",1,2,"Putrescine",0,"Recovery/Ion suppresion",20240926,,1,2,,,"NO","NORM",0,,,,2.21528560537347,0.864720954717939,,,,0.923226717809846,41.585,41.585,41.585,0.204341619458808
"20240926-Test-PA-Spike-Cells-060","Sample","NO_0_NORM_3_1","NO_0_NORM_3","NO_0_NORM",1,3,"Putrescine",0,"Recovery/Ion suppresion",20240926,,1,3,,,"NO","NORM",0,,,,2.21528560537347,0.864720954717939,,,,0.987267483154411,44.561,44.561,44.561,0.221345744623825
"20240926-Test-PA-Spike-Cells-061","Sample","NO_0_NORM_3_2","NO_0_NORM_3","NO_0_NORM",2,3,"Putrescine",0,"Recovery/Ion suppresion",20240926,,1,3,,,"NO","NORM",0,,,,2.21528560537347,0.864720954717939,,,,0.995901862712382,40.917,40.917,40.917,0.200550459738338
